role,name,team,buyPrice,startingFCPrice,actualFCPrice
Por,Rui Patricio,ALoT,1,1.0,2.0
Por,Maignan,ALoT,14,15.0,15.0
Por,Carnesecchi,ALoT,4,13.0,14.0
B;Ds;E,Masina,ALoT,5,7.0,10.0
E,Spinazzola,ALoT,15,12.0,9.0
B;Dd;E,Darmian,ALoT,10,9.0,14.0
Dc,Rrahmani,ALoT,15,11.0,14.0
Dc,Pavlovic,ALoT,15,10.0,9.0
B;Dd;Ds,Godfrey *,ALoT,12,9.0,1.0
E,Ruggeri,ALoT,11,10.0,10.0
E,Dumfries,ALoT,5,15.0,23.0
Ds;Dc,Vasquez,ALoT,4,10.0,8.0
Dd;Dc,Kossounou,ALoT,4,10.0,6.0
C;T,Zielinski,ALoT,12,11.0,15.0
M;C,Cristante,ALoT,11,10.0,9.0
M;C,Fofana Y.,ALoT,5,9.0,12.0
W;A,Chukwueze,ALoT,20,10.0,9.0
W,Saelemaekers,ALoT,3,5.0,16.0
M;C,Marin,ALoT,8,6.0,14.0
M;C,McKennie,ALoT,2,8.0,14.0
M;C,Asllani,ALoT,3,6.0,8.0
W;T;A,Oristanio,ALoT,5,10.0,16.0
Pc,Martinez L.,ALoT,164,42.0,31.0
A,Raspadori,ALoT,1,12.0,4.0
A,De Ketelaere,ALoT,23,21.0,24.0
A,Okafor,ALoT,32,11.0,6.0
W;A,Isaksen,ALoT,2,12.0,13.0
Pc,Taremi,ALoT,22,14.0,8.0
Pc,Mosquera,ALoT,18,7.0,16.0
Pc,Dallinga,ALoT,10,21.0,12.0
Por,Falcone,Skinhead Club de futbol,4,9.0,10.0
Por,Montipo',Skinhead Club de futbol,1,7.0,5.0
Por,Di Gregorio,Skinhead Club de futbol,40,17.0,14.0
Dc,Acerbi,Skinhead Club de futbol,20,10.0,6.0
Dc,Djimsiti,Skinhead Club de futbol,15,8.0,6.0
Dc,Palomino,Skinhead Club de futbol,1,5.0,5.0
Dd;Ds;E,Marusic,Skinhead Club de futbol,1,7.0,9.0
Dd;E,Lazzari,Skinhead Club de futbol,6,5.0,7.0
Dc,N'Dicka,Skinhead Club de futbol,14,8.0,8.0
Ds;E,Gallo,Skinhead Club de futbol,6,5.0,6.0
B;Dd;Ds,Emerson Royal,Skinhead Club de futbol,10,12.0,6.0
Dd;Dc,Kalulu,Skinhead Club de futbol,5,5.0,11.0
Ds;E,Tavares N.,Skinhead Club de futbol,3,6.0,16.0
Dc,Gatti,Skinhead Club de futbol,15,7.0,12.0
Dd;Ds;E,Birindelli,Skinhead Club de futbol,1,5.0,7.0
Dd;Ds;E,Coulibaly W. *,Skinhead Club de futbol,1,2.0,3.0
C;T,Kastanos,Skinhead Club de futbol,3,4.0,7.0
C,Mkhitaryan,Skinhead Club de futbol,26,14.0,14.0
M;C,Lobotka,Skinhead Club de futbol,10,10.0,9.0
T;A,Maldini,Skinhead Club de futbol,10,8.0,11.0
M;C,Brescianini,Skinhead Club de futbol,24,5.0,14.0
C,Ilic,Skinhead Club de futbol,7,7.0,8.0
T;A,Baldanzi,Skinhead Club de futbol,4,8.0,9.0
C;T,Fazzini,Skinhead Club de futbol,1,4.0,9.0
C,Payero,Skinhead Club de futbol,1,7.0,6.0
Pc,Morata *,Skinhead Club de futbol,100,26.0,20.0
Pc,Belotti *,Skinhead Club de futbol,17,16.0,11.0
Pc,Pohjanpalo *,Skinhead Club de futbol,2,15.0,18.0
Pc,Krstovic,Skinhead Club de futbol,15,16.0,18.0
Pc,Castro S.,Skinhead Club de futbol,25,7.0,22.0
Por,Milinkovic-Savic V.,UBS un bè scarsi,4,10.0,18.0
Por,Okoye,UBS un bè scarsi,6,7.0,6.0
Por,Suzuki,UBS un bè scarsi,2,7.0,8.0
Ds;Dc,Barba *,UBS un bè scarsi,1,1.0,2.0
Dc,Romagnoli,UBS un bè scarsi,10,10.0,5.0
Dc,Bani,UBS un bè scarsi,2,7.0,5.0
Ds;E,Augello,UBS un bè scarsi,4,5.0,8.0
Ds;E,Angelino,UBS un bè scarsi,10,10.0,12.0
Dc,Mari',UBS un bè scarsi,4,7.0,5.0
E,Mazzocchi,UBS un bè scarsi,4,4.0,2.0
Dd;Ds;E,Kayode *,UBS un bè scarsi,8,6.0,1.0
Dc,Gaspar K.,UBS un bè scarsi,1,3.0,7.0
B;Ds;E,Sverko,UBS un bè scarsi,1,5.0,5.0
W,Politano,UBS un bè scarsi,21,23.0,14.0
M;C,Freuler,UBS un bè scarsi,12,10.0,13.0
C,Barella,UBS un bè scarsi,45,19.0,25.0
C;T,Pasalic,UBS un bè scarsi,20,15.0,10.0
C;W,Messias,UBS un bè scarsi,10,9.0,4.0
M;C,Ricci S.,UBS un bè scarsi,1,9.0,12.0
W;T,Harroui,UBS un bè scarsi,14,13.0,7.0
W,Tchaouna,UBS un bè scarsi,1,9.0,4.0
C,Reijnders,UBS un bè scarsi,15,11.0,26.0
Pc,Zapata D.,UBS un bè scarsi,65,25.0,19.0
A,Caprari,UBS un bè scarsi,1,9.0,11.0
Pc,Piccoli,UBS un bè scarsi,12,12.0,18.0
A,Gudmundsson A.,UBS un bè scarsi,65,28.0,22.0
W;A,Banda,UBS un bè scarsi,1,10.0,5.0
Pc,Vitinha O.,UBS un bè scarsi,15,11.0,5.0
Pc,Castellanos,UBS un bè scarsi,75,21.0,25.0
A,Adams C.,UBS un bè scarsi,10,15.0,24.0
Por,Paleari,Belkai du Guarana,1,1.0,1.0
Por,Ryan *,Belkai du Guarana,1,1.0,1.0
Por,Svilar,Belkai du Guarana,17,13.0,12.0
B;Ds;E,Biraghi,Belkai du Guarana,5,8.0,5.0
E,Gosens,Belkai du Guarana,8,12.0,16.0
Dc,Buongiorno,Belkai du Guarana,28,16.0,15.0
Dc,Bremer,Belkai du Guarana,11,16.0,8.0
Dd;Dc,Pavard,Belkai du Guarana,23,15.0,7.0
B;Dd;Ds,Danilo *,Belkai du Guarana,14,16.0,8.0
E,Bellanova,Belkai du Guarana,20,12.0,13.0
Dd;E,Dodo',Belkai du Guarana,1,9.0,12.0
Dc,Hien,Belkai du Guarana,1,8.0,8.0
C;T,Frattesi,Belkai du Guarana,20,17.0,20.0
T,Samardzic,Belkai du Guarana,16,16.0,17.0
C,Sohm,Belkai du Guarana,1,4.0,14.0
W;A,Man,Belkai du Guarana,41,18.0,20.0
M;C,Thuram K.,Belkai du Guarana,7,12.0,19.0
W,Ndoye,Belkai du Guarana,1,9.0,21.0
T,Koopmeiners,Belkai du Guarana,33,28.0,15.0
E;M,Frendrup,Belkai du Guarana,15,13.0,12.0
M;C,Ederson D.s.,Belkai du Guarana,85,18.0,17.0
T,Colpani,Belkai du Guarana,25,22.0,11.0
C;T,Fabbian,Belkai du Guarana,25,13.0,12.0
W;A,Conceicao,Belkai du Guarana,5,10.0,16.0
Pc,Kean,Belkai du Guarana,21,21.0,33.0
A,Thauvin,Belkai du Guarana,2,10.0,21.0
Pc,Thuram,Belkai du Guarana,101,30.0,40.0
A,Kvaratskhelia *,Belkai du Guarana,91,30.0,26.0
A,Noslin,Belkai du Guarana,11,16.0,12.0
